rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,opponent
1,2.0,00:07:43,11582.0,1,0,7,3,clear,,1.0,2.0,7,620.0,407.0,2.0,13,825.0,679.0,Well Wide,Opponent Well Wide,A,,8,598.0,394.0,8,640.0,560.0,0,11
2,6.0,0:07:58,11965.0,2,0,7,3,drive,,,2.0,8,648.0,357.0,1.0,12,1012.0,679.0,Net Error,Opponent Net Error,A,,8,643.0,366.0,8,607.0,555.0,0,11
3,27.0,00:08:37,12942.0,2,1,11,3,passive drop,,1.0,2.0,9,781.0,638.0,2.0,2,800.0,465.0,Hanging Net,Opponent Hanging Net,B,,6,804.0,629.0,8,683.0,358.0,0,7
4,6.0,0:09:00,13523.0,3,1,11,3,return net,,1.0,1.0,8,565.0,536.0,2.0,8,756.0,336.0,Opponent Shuttle Landing,Shuttle Landing,A,,8,545.0,533.0,1,488.0,437.0,0,7
5,16.0,0:09:29,14245.0,3,2,7,3,rush,,,2.0,7,539.0,400.0,1.0,4,464.0,646.0,Opponent Shuttle Landing,Shuttle Landing,B,,7,594.0,401.0,8,591.0,579.0,0,11
6,5.0,0:10:01,15035.0,4,2,7,3,cross-court net shot,,1.0,1.0,6,772.0,373.0,2.0,2,790.0,451.0,Net Error,Opponent Net Error,A,,8,749.0,364.0,8,716.0,605.0,0,11
7,4.0,0:10:17,15433.0,5,2,7,3,drop,,,1.0,8,542.0,357.0,2.0,11,894.0,523.0,Well Wide,Opponent Well Wide,A,,8,561.0,366.0,8,559.0,608.0,0,11
8,6.0,0:10:35,15881.0,6,2,7,3,push,,1.0,2.0,8,645.0,389.0,1.0,13,861.0,683.0,Well Wide,Opponent Well Wide,A,,8,641.0,373.0,8,620.0,572.0,0,11
9,22.0,0:11:11,16799.0,6,3,7,3,smash,,,2.0,5,523.0,332.0,1.0,5,802.0,619.0,Opponent Shuttle Landing,Shuttle Landing,B,,9,530.0,326.0,8,600.0,570.0,0,11
10,9.0,0:11:43,17596.0,7,3,7,3,net shot,,,2.0,8,618.0,387.0,1.0,7,621.0,439.0,Hanging Net,Opponent Hanging Net,A,,8,613.0,392.0,8,645.0,564.0,0,11
11,41.0,0:12:42,19062.0,7,4,11,3,passive drop,,,1.0,4,444.0,638.0,2.0,15,418.0,388.0,Well Wide,Opponent Well Wide,B,,9,505.0,649.0,8,609.0,358.0,0,7
12,34.0,0:13:38,20460.0,7,5,11,3,passive drop,,,1.0,4,424.0,649.0,2.0,16,408.0,429.0,Well Wide,Opponent Well Wide,B,,8,527.0,627.0,8,631.0,361.0,0,7
13,39.0,0:14:43,22080.0,7,6,7,3,smash,,,2.0,3,503.0,328.0,1.0,4,389.0,651.0,Opponent Shuttle Landing,Shuttle Landing,B,,8,530.0,339.0,8,604.0,583.0,0,11
14,14.0,00:15:36,23412.0,8,6,11,3,wrist smash,,,1.0,4,453.0,631.0,2.0,5,438.0,358.0,Opponent Shuttle Landing,Shuttle Landing,A,,9,491.0,659.0,8,598.0,353.0,0,7
15,18.0,0:16:12,24312.0,9,6,7,3,smash,,,2.0,9,558.0,325.0,1.0,7,680.0,449.0,Hanging Net,Opponent Hanging Net,A,,8,556.0,335.0,8,587.0,593.0,0,11
16,40.0,0:17:21,26031.0,10,6,7,3,return net,,,1.0,5,516.0,398.0,2.0,1,473.0,438.0,Hanging Net,Opponent Hanging Net,A,,8,570.0,384.0,8,593.0,600.0,0,11
17,15.0,0:18:29,27728.0,10,7,11,3,smash,,,1.0,6,484.0,599.0,2.0,15,428.0,341.0,Well Wide,Opponent Well Wide,B,,9,567.0,637.0,8,670.0,372.0,0,7
18,19.0,0:19:07,28677.0,10,8,7,3,cross-court net shot,,,2.0,1,498.0,404.0,1.0,1,861.0,475.0,Opponent Shuttle Landing,Shuttle Landing,B,,7,548.0,403.0,8,565.0,612.0,0,11
19,7.0,0:19:31,29296.0,11,8,7,3,clear,,,2.0,3,528.0,315.0,1.0,13,837.0,675.0,Well Wide,Opponent Well Wide,A,,8,563.0,337.0,8,639.0,591.0,0,11
20,3.0,0:20:58,31450.0,11,9,11,3,smash,1.0,,1.0,9,707.0,630.0,2.0,11,848.0,335.0,Well Wide,Opponent Well Wide,B,,9,671.0,642.0,8,667.0,348.0,0,7
21,5.0,0:21:13,31828.0,12,9,7,3,smash,,,2.0,9,552.0,326.0,1.0,12,977.0,631.0,Well Wide,Opponent Well Wide,A,,8,625.0,339.0,8,666.0,572.0,0,11
22,12.0,0:21:42,32568.0,13,9,7,3,cross-court net shot,,,1.0,8,594.0,358.0,2.0,7,738.0,434.0,Hanging Net,Opponent Hanging Net,A,,8,618.0,362.0,4,485.0,636.0,0,11
23,8.0,0:22:07,33176.0,14,9,7,3,cross-court net shot,,,1.0,8,537.0,362.0,2.0,7,630.0,440.0,Net Error,Opponent Net Error,A,,8,542.0,371.0,8,570.0,567.0,0,11
24,19.0,0:22:42,34053.0,14,10,11,3,net shot,,1.0,1.0,7,783.0,499.0,2.0,1,828.0,469.0,Hanging Net,Opponent Hanging Net,B,,8,747.0,526.0,8,694.0,336.0,0,7
25,17.0,0:23:29,35242.0,15,10,7,3,return net,,,2.0,8,627.0,361.0,1.0,7,639.0,431.0,Net Error,Opponent Net Error,A,,8,645.0,369.0,8,525.0,581.0,0,11
26,10.0,0:24:01,36048.0,16,10,7,3,drop,,,2.0,9,611.0,327.0,1.0,7,775.0,448.0,Hanging Net,Opponent Hanging Net,A,,9,617.0,322.0,8,662.0,571.0,0,11
27,44.0,0:25:08,37723.0,17,10,7,3,clear,,1.0,2.0,9,744.0,325.0,1.0,12,967.0,653.0,Well Wide,Opponent Well Wide,A,,8,681.0,340.0,8,689.0,553.0,0,11
28,6.0,0:25:40,38511.0,18,10,7,3,return net,,,1.0,8,548.0,364.0,2.0,1,476.0,443.0,Hanging Net,Opponent Hanging Net,A,,8,607.0,356.0,9,794.0,642.0,0,11
29,16.0,0:26:46,40151.0,18,11,7,3,wrist smash,1.0,,2.0,8,738.0,329.0,1.0,6,402.0,553.0,Opponent Shuttle Landing,Shuttle Landing,B,,8,717.0,336.0,8,646.0,597.0,0,11
30,25.0,00:27:28,41214.0,18,12,7,3,rush,,,2.0,2,778.0,420.0,2.0,8,778.0,616.0,Opponent Shuttle Landing,Shuttle Landing,B,,7,752.0,405.0,8,777.0,598.0,0,11
